,country,polity2
0,Afghanistan,-6.336734693877551
1,Albania,-3.1904761904761907
2,Algeria,-4.631578947368421
3,Angola,-3.8636363636363638
4,Argentina,-0.6391752577319587
5,Armenia,4.5
6,Australia,10.0
7,Austria,0.13761467889908258
8,Azerbaijan,-6.178571428571429
9,Baden,-6.60377358490566
10,Bahrain,-9.020833333333334
11,Bangladesh,0.6382978723404256
12,Bavaria,-8.472222222222221
13,Belarus,-4.75
14,Belgium,6.655737704918033
15,Benin,0.288135593220339
16,Bhutan,-8.464285714285714
17,Bolivia,-0.07253886010362694
18,Bosnia,0.0
19,Botswana,7.018867924528302
20,Brazil,-1.917948717948718
21,Bulgaria,-3.3309352517985613
22,Burkina Faso,-3.1186440677966103
23,Burundi,-2.508771929824561
24,Cambodia,-2.8596491228070176
25,Cameroon,-5.8474576271186445
26,Canada,8.953947368421053
27,Cape Verde,4.613636363636363
28,Central African Republic,-2.8983050847457625
29,Chad,-4.610169491525424
30,Chile,1.3980099502487562
31,China,-6.278846153846154
32,Colombia,2.727272727272727
33,Comoros,1.7727272727272727
34,Congo Brazzaville,-4.559322033898305
35,Congo Kinshasa,-3.406779661016949
36,Costa Rica,8.132596685082873
37,Cote D'Ivoire,4.0
38,Croatia,4.821428571428571
39,Cuba,-2.675213675213675
40,Cyprus,8.745762711864407
41,Czech Republic,9.5
42,Czechoslovakia,-1.24
43,Denmark,2.3411214953271027
44,Djibouti,-2.857142857142857
45,Dominican Republic,-1.3841463414634145
46,East Timor,7.0
47,Ecuador,0.6084656084656085
48,Egypt,-3.8762886597938144
49,El Salvador,-1.2971428571428572
50,Equatorial Guinea,-6.254901960784314
51,Eritrea,-6.6923076923076925
52,Estonia,6.862745098039215
53,Ethiopia,-0.9245283018867925
54,Fiji,4.204081632653061
55,Finland,9.166666666666666
56,France,3.65296803652968
57,Gabon,-5.11864406779661
58,Gambia,2.0555555555555554
59,Georgia,5.714285714285714
60,Germany,2.0283018867924527
61,Germany East,-8.7
62,Germany West,10.0
63,Ghana,-0.4915254237288136
64,Gran Colombia,-2.6666666666666665
65,Greece,4.696808510638298
66,Guatemala,-1.1833333333333333
67,Guinea,-4.770491803278689
68,Guinea-Bissau,-0.7555555555555555
69,Guyana,1.8113207547169812
70,Haiti,-2.7142857142857144
71,Honduras,1.2413793103448276
72,Hungary,-1.56
73,India,8.681159420289855
74,Indonesia,-1.4189189189189189
75,Iran,-7.442922374429224
76,Iraq,-4.909090909090909
77,Ireland,9.489795918367347
78,Israel,7.661971830985915
79,Italy,2.4177215189873418
80,Ivory Coast,-5.375
81,Jamaica,9.566666666666666
82,Japan,0.5754716981132075
83,Jordan,-5.958904109589041
84,Kazakhstan,-5.071428571428571
85,Kenya,-0.8214285714285714
86,Korea,1.0
87,Korea North,-8.985915492957746
88,Korea South,1.4507042253521127
89,Kosovo,8.0
90,Kuwait,-7.963636363636364
91,Kyrgyzstan,1.2142857142857142
92,Laos,-4.430769230769231
93,Latvia,5.285714285714286
94,Lebanon,2.6721311475409837
95,Lesotho,1.0754716981132075
96,Liberia,-2.0232558139534884
97,Libya,-6.176470588235294
98,Lithuania,3.8823529411764706
99,Luxembourg,7.6938775510204085
100,Macedonia,7.821428571428571
101,Madagascar,0.9152542372881356
102,Malawi,-2.2545454545454544
103,Malaysia,5.161290322580645
104,Mali,-0.8813559322033898
105,Mauritania,-5.491525423728813
106,Mauritius,9.72549019607843
107,Mexico,-3.1597938144329896
108,Modena,-10.0
109,Moldova,8.0
110,Mongolia,-2.4
111,Montenegro,9.0
112,Morocco,-6.232954545454546
113,Mozambique,-0.36363636363636365
114,Myanmar (Burma),-3.056338028169014
115,Namibia,6.0
116,Nepal,-3.356164383561644
117,Netherlands,2.9346733668341707
118,New Zealand,9.864197530864198
119,Nicaragua,-3.184357541899441
120,Niger,-1.728813559322034
121,Nigeria,0.01694915254237288
122,Norway,3.375
123,Oman,-6.926940639269406
124,Orange Free State,4.0
125,Pakistan,1.5277777777777777
126,Panama,0.3017241379310345
127,Papal States,-9.0
128,Papua New Guinea,4.159090909090909
129,Paraguay,-4.466346153846154
130,Parma,-10.0
131,Peru,0.8214285714285714
132,Philippines,3.5308641975308643
133,Poland,-0.1188118811881188
134,Portugal,-1.497560975609756
135,Prussia,-9.114754098360656
136,Qatar,-10.0
137,Romania,-3.459119496855346
138,Russia,-6.76
139,Rwanda,-5.275862068965517
140,Sardinia,-9.106382978723405
141,Saudi Arabia,-10.0
142,Saxony,-8.26984126984127
143,Senegal,0.13559322033898305
144,Serbia,-0.3627450980392157
145,Serbia and Montenegro,6.0
146,Sierra Leone,-0.3448275862068966
147,Singapore,-1.3793103448275863
148,Slovak Republic,9.115384615384615
149,Slovenia,10.0
150,Solomon Islands,7.1
151,Somalia,-0.9655172413793104
152,South Africa,5.220183486238532
153,South Sudan,0.0
154,Spain,0.18779342723004694
155,Sri Lanka,6.0
156,Sudan,-3.7142857142857144
157,Sudan-North,-4.0
158,Suriname,3.0
159,Swaziland,-8.509803921568627
160,Sweden,1.730593607305936
161,Switzerland,10.0
162,Syria,-6.152777777777778
163,Taiwan,-0.6857142857142857
164,Tajikistan,-3.2142857142857144
165,Tanzania,-3.603448275862069
166,Thailand,-6.1192660550458715
167,Timor Leste,8.0
168,Togo,-4.745762711864407
169,Trinidad and Tobago,9.0
170,Tunisia,-4.8
171,Turkey,-3.688372093023256
172,Turkmenistan,-8.75
173,Tuscany,-9.934782608695652
174,Two Sicilies,-9.911111111111111
175,UAE,-8.0
176,USSR,-7.4
177,Uganda,-2.6785714285714284
178,Ukraine,5.964285714285714
179,United Kingdom,6.091324200913242
180,United Province CA,2.0
181,United States,9.32420091324201
182,Uruguay,1.2698412698412698
183,Uzbekistan,-9.0
184,Venezuela,-1.312169312169312
185,Vietnam,-7.0
186,Vietnam North,-7.913043478260869
187,Vietnam South,-3.0
188,Wuerttemburg,-4.791666666666667
189,Yemen,-1.5172413793103448
190,Yemen North,-6.808219178082192
191,Yemen South,-6.916666666666667
192,Yugoslavia,-5.120481927710843
193,Zambia,-0.34545454545454546
194,Zimbabwe,-0.5306122448979592
