indicator,indicator_name
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)"
EG.ELC.ACCS.ZS,Access to electricity (% of population)
EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita)
EN.POP.DNST,Population density (people per sq. km of land area)
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP)
E.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
NY.GDP.MKTP.CD,GDP (current US$)
NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
NY.GDP.PCAP.CD,GDP per capita (current US$)
NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP)
SI.POV.GINI,GINI index (World Bank estimate)
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)"
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
SP.POP.GROW,Population growth (annual %)
SP.POP.TOTL,"Population, total"
SP.POP.TOTL.FE.IN,"Population, female"
SP.URB.TOTL.IN.ZS,Urban population (% of total population)
ST.INT.ARVL,"International tourism, number of arrivals"